校下・地区,センター,燃やすごみ,燃やさないごみ,資源,あきびん
金池,西部清掃事業所,月 木,水2,火1 火3,水4
上野丘1丁目,西部清掃事業所,月 木,水2,火1 火3,水4
上野丘2丁目,西部清掃事業所,月 木,水2,火1 火3,水4
上野丘西,西部清掃事業所,月 木,水2,火1 火3,水4
上野丘東,西部清掃事業所,月 木,水2,火1 火3,水4
上野町,西部清掃事業所,月 木,水2,火1 火3,水4
大手町1丁目,西部清掃事業所,月 木,水2,火1 火3,水4
金池町1・2・3丁目,西部清掃事業所,月 木,水2,火1 火3,水4
金池町4丁目,西部清掃事業所,月 木,水2,火1 火3,水4
金池町5丁目,西部清掃事業所,月 木,水2,火1 火3,水4
金池南1丁目,西部清掃事業所,月 木,水2,火1 火3,水4
金池南2丁目,西部清掃事業所,月 木,水2,火1 火3,水4
顕徳町,西部清掃事業所,月 木,水2,火1 火3,水4
桜ケ丘,西部清掃事業所,月 木,水2,火1 火3,水4
府内町1丁目,西部清掃事業所,月 木,水2,火1 火3,水4
元町,西部清掃事業所,月 木,水2,火1 火3,水4
六坊町,西部清掃事業所,月 木,水2,火1 火3,水4
金池,西部清掃事業所,月 木,水2,火1 火3,水4
	
荷揚,西部清掃事業所,月 木,水4,火1 火3,水2
城崎町,西部清掃事業所,月 木,水4,火1 火3,水2
末広町1丁目,西部清掃事業所,月 木,水4,火1 火3,水2
高砂・寿町,西部清掃事業所,月 木,水4,火1 火3,水2
中央町,西部清掃事業所,月 木,水4,火1 火3,水2
荷揚町,西部清掃事業所,月 木,水4,火1 火3,水2
府内町2・3丁目,西部清掃事業所,月 木,水4,火1 火3,水2
都町1・2丁目,西部清掃事業所,月 木,水4,火1 火3,水2
都町3・4丁目,西部清掃事業所,月 木,水4,火1 火3,水2
	
長浜,西部清掃事業所,火 金,月3,月2 月4,水1
大手町2・3丁目,西部清掃事業所,火 金,月3,月2 月4,水1
長浜町1丁目,西部清掃事業所,火 金,月3,月2 月4,水1
長浜町2丁目,西部清掃事業所,火 金,月3,月2 月4,水1
長浜町3丁目,西部清掃事業所,火 金,月3,月2 月4,水1
錦町1丁目,西部清掃事業所,火 金,月3,月2 月4,水1
錦町2丁目,西部清掃事業所,火 金,月3,月2 月4,水1
錦町3丁目,西部清掃事業所,火 金,月3,月2 月4,水1
舞鶴町,西部清掃事業所,火 金,月3,月2 月4,水1
	
中島,西部清掃事業所,火 金,木4,木1 木3,水2
芦崎,西部清掃事業所,火 金,木4,木1 木3,水2
新川西,西部清掃事業所,火 金,木4,木1 木3,水2
新川町1丁目,西部清掃事業所,火 金,木4,木1 木3,水2
新川町2丁目,西部清掃事業所,火 金,木4,木1 木3,水2
住吉町,西部清掃事業所,火 金,木4,木1 木3,水2
千代町,西部清掃事業所,火 金,木4,木1 木3,水2
中島中央,西部清掃事業所,火 金,木4,木1 木3,水2
中島西,西部清掃事業所,火 金,木4,木1 木3,水2
浜町北,西部清掃事業所,火 金,木4,木1 木3,水2
浜町東,西部清掃事業所,火 金,木4,木1 木3,水2
	
住吉,西部清掃事業所,火 金,月3,月2 月4,水1
泉町,西部清掃事業所,火 金,月3,月2 月4,水1
碩田町,西部清掃事業所,火 金,月3,月2 月4,水1
中島東,西部清掃事業所,火 金,月3,月2 月4,水1
弁天,西部清掃事業所,火 金,月3,月2 月4,水1
豊町1丁目,西部清掃事業所,火 金,月3,月2 月4,水1
豊町2丁目,西部清掃事業所,火 金,月3,月2 月4,水1
	
春日,西部清掃事業所,月 木,金3,金2 金4,水1
生石港町,西部清掃事業所,月 木,金3,金2 金4,水1
王子北町,西部清掃事業所,月 木,金3,金2 金4,水1
王子新町,西部清掃事業所,月 木,金3,金2 金4,水1
王子西南町,西部清掃事業所,月 木,金3,金2 金4,水1
王子中町西,西部清掃事業所,月 木,金3,金2 金4,水1
王子中町東,西部清掃事業所,月 木,金3,金2 金4,水1
王子西町,西部清掃事業所,月 木,金3,金2 金4,水1
王子町,西部清掃事業所,月 木,金3,金2 金4,水1
